agmctb,,49451980,984,-55,-222,17,9,-10,-39,223,-19
agmctb,,49452000,992,-59,-214,21,16,-6,-37,220,-13
agmctb,,49452020,988,-67,-218,20,7,-5,-33,222,-13
agmctb,,49452040,988,-59,-202,20,9,-11,-34,222,-9
agmctb,,49452060,981,-47,-214,20,6,-19,-33,226,-19
agmctb,,49452080,992,-43,-226,22,8,-15,-37,218,-12
agmctb,,49452100,984,-51,-226,22,8,-10,-33,221,-19
agmctb,,49452120,992,-67,-214,21,7,-13,-34,219,-16
agmctb,,49452140,988,-51,-198,19,7,-17,-35,223,-19
agmctb,,49452160,992,-55,-222,23,7,-12,-33,223,-10
agmctb,,49452180,981,-43,-210,17,11,-10,-34,223,-20
agmctb,,49452200,988,-67,-202,18,8,-12,-35,224,-19
agmctb,,49452220,977,-59,-210,23,7,-11,-34,224,-20
agmctb,,49452240,988,-63,-214,21,7,-13,-34,225,-22
agmctb,,49452260,992,-43,-218,20,7,-10,-34,225,-16
agmctb,,49452280,981,-43,-230,22,12,-9,-33,223,-10
agmctb,,49452300,984,-55,-214,12,12,0,-38,226,-15
agmctb,,49452320,977,-59,-198,21,20,0,-33,225,-16
agmctb,,49452340,992,-63,-198,23,13,-8,-33,226,-19
agmctb,,49452360,984,-51,-206,21,13,-9,-34,226,-16
agmctb,,49452380,984,-59,-214,15,13,-12,-35,225,-15
agmctb,,49452400,988,-63,-210,13,5,-8,-40,222,-21
agmctb,,49452420,984,-59,-226,22,7,-13,-39,221,-13
agmctb,,49452440,981,-55,-202,23,8,-18,-42,222,-17
agmctb,,49452460,984,-55,-202,20,9,-17,-32,223,-14
agmctb,,49452480,988,-59,-218,22,5,-17,-38,220,-6
agmctb,,49452500,981,-63,-206,23,2,-12,-38,222,-9
agmctb,,49452520,988,-55,-194,25,6,-10,-38,222,-12
agmctb,,49452540,984,-63,-210,28,4,-16,-40,224,-7
agmctb,,49452560,981,-59,-214,18,4,-13,-36,224,-13
agmctb,,49452580,988,-59,-222,19,1,-13,-37,219,-14
agmctb,,49452600,992,-59,-198,26,3,-17,-37,222,-9
agmctb,,49452620,984,-55,-206,24,4,-9,-34,222,-16
agmctb,,49452640,981,-67,-210,17,2,-15,-34,219,-8
agmctb,,49452660,981,-63,-210,22,4,-19,-34,221,-9
agmctb,,49452680,988,-55,-218,23,0,-15,-33,221,-14
agmctb,,49452700,988,-67,-202,30,2,-13,-35,222,-13
agmctb,,49452720,988,-63,-210,30,1,-19,-33,223,-17
agmctb,,49452740,984,-55,-214,31,-2,-23,-35,221,-12
agmctb,,49452760,984,-63,-206,26,0,-24,-37,219,-13
agmctb,,49452780,977,-39,-210,22,7,-26,-34,221,-10
agmctb,,49452800,988,-47,-230,18,7,-17,-35,220,-17
agmctb,,49452820,981,-55,-191,21,12,-13,-33,223,-14
agmctb,,49452840,988,-63,-214,26,8,-15,-35,221,-10
agmctb,,49452860,981,-51,-218,21,11,-11,-33,221,-11
agmctb,,49452880,988,-59,-218,21,11,-14,-34,221,-13
agmctb,,49452900,992,-59,-214,29,15,-12,-34,222,-19
agmctb,,49452920,988,-51,-202,29,20,-10,-32,223,-20
agmctb,,49452940,988,-51,-198,24,19,-10,-38,223,-16
agmctb,,49452960,988,-47,-194,9,16,2,-34,222,-13
agmctb,,49452980,992,-63,-210,7,12,2,-34,223,-17
agmctb,,49453000,996,-67,-191,11,9,-1,-34,219,-10
agmctb,,49453020,981,-71,-206,25,17,-5,-32,224,-20
agmctb,,49453040,988,-59,-202,26,22,-9,-39,226,-15
agmctb,,49453060,996,-55,-194,26,20,-12,-35,223,-22
agmctb,,49453080,977,-55,-198,21,20,-6,-38,223,-18
